,0
0,9.469537537897853
1,54.82730094642425
2,22.283956124482522
3,64.97365830412016
4,89.52646565279125
5,261.03232505177294
6,320.11341042364194
7,270.27504717966235
8,245.2956887280753
9,707.2378238655884
10,1035.6593368559556
11,600.5807259287255
12,419.65617489061765
13,204.34991770578307
14,577.9964412490747
15,752.7529600757364
16,66.61120551641719
17,470.594339064266
18,179.73587610723473
19,562.0241783695321
20,219.71084264721833
21,687.9099487226572
22,361.6312510518412
23,683.2984730621796
24,272.5528081589212
25,450.8387499084686
26,461.509383330789
27,245.10803614971525
28,604.0531070890484
29,304.41209519819296
30,1412.6144415215563
31,318.1245009245614
32,571.7878345962664
33,349.03142980361866
34,873.3512781742438
35,396.7766744553145
36,395.16131867806894
37,237.8410835829792
38,732.9428182388518
39,706.613787863259
40,614.5030959916833
41,863.5437274282506
42,931.8184686487936
43,633.1305731974996
44,667.348511330866
45,283.06655518932405
46,1031.859907178146
47,630.6650555678992
48,618.4986087236756
49,853.9462420346053
50,643.3917942976319
51,514.5141380082682
52,818.4717925314465
53,446.38543033524445
54,702.1072237586452
55,584.3428981263421
56,551.5638885854629
57,581.3016758778944
58,633.996417036214
59,359.85095832520886
60,1118.5083486416117
61,384.699107288143
62,874.5787446085233
63,675.2472068276192
64,625.0868763965066
65,461.0996954321761
66,1159.7127843207593
67,584.3817714523432
68,283.35646988435917
69,394.8485166872646
70,646.0456488864206
71,530.703021193684
72,1637.0578944576012
73,1391.5987662842133
74,669.6751555920073
75,454.3120478970414
76,487.13200430776476
77,1116.0070839919258
78,742.4916259231413
79,836.318939408873
80,943.7359520280086
81,885.1055371791008
82,746.6262821429783
83,1026.361176087428
84,832.1453103703119
85,2268.251135180273
86,1259.203151088005
87,1003.7847423140203
88,500.16120645509466
89,668.1916667953784
90,722.4036682036872
91,1070.674419200016
92,793.8855161085718
93,680.1313171925117
94,738.5838238794504
95,1270.5981968193864
96,1287.6627496827252
97,727.1065748283767
98,527.0502045280581
99,1046.544465854839
100,920.8758080858269
101,442.04389556466447
102,848.5323810360385
103,1043.5249711264096
104,1265.1221323850596
105,755.1500949790492
106,664.0232383953792
107,1091.988004541146
108,1009.0395577035347
109,887.9416056916536
110,691.3326802313021
111,810.7018410137367
112,1049.8375328288994
113,468.84968111810804
114,945.9311292234547
115,896.128522472068
116,572.8535213962253
117,996.7050075130167
118,585.678076084194
119,806.4161982774026
120,588.1195165299387
121,560.1887821820569
122,833.495280478423
123,1086.192126377502
124,747.700373133801
125,823.3619647906512
126,631.6257800122129
127,1308.51463385764
128,993.4015487594721
129,800.6412471067729
130,863.4438103001147
131,808.0289697288672
132,718.7052145047659
133,908.1973689177275
134,869.2003664649745
135,1267.8588762056215
136,1435.4783681934664
137,1379.7200400404522
138,1448.4404982079236
139,651.602659308592
140,802.1771445706315
141,900.0161204666214
142,888.7107340465288
143,1288.483510316318
144,1384.4167597821122
145,731.0382804920374
146,784.6643627662369
147,1042.7803071360413
148,1180.8216610938437
149,965.1109342556111
150,1393.0170074356934
151,857.1895586413319
152,821.4256967585145
153,980.1921801471827
154,1029.622731864778
155,1999.340348949694
156,1581.9020134995606
157,1292.7331291639568
158,1185.4779432534267
159,1597.031414778649
160,859.5196604250156
161,1401.0440834843203
162,1070.092871449588
163,896.5412626315753
164,966.8337110048357
165,801.1894289113043
166,628.2656966755295
167,843.7142618697435
168,957.34265095462
169,1026.0881772815196
170,904.1639727769298
171,907.4618624530209
172,1026.187527927332
173,706.3414582334733
174,716.815226417896
175,1069.4247879226818
176,725.1553092827813
177,657.2467315638951
178,1056.4514594486727
179,1187.9829413048844
180,1185.702635815512
181,933.8998719065182
182,904.9367855734873
183,1074.609907916711
184,1213.4830055386033
185,979.3876087208678
186,859.5961095844693
187,477.08974113834404
188,878.1632608620995
189,705.8407390130527
190,593.3623535659883
191,1045.1739462470991
192,1167.5430927296634
193,642.8424416027266
194,647.3463740034626
195,672.8974021799356
196,759.0131586620304
197,995.1255524881013
198,798.7635725212464
199,804.7449469354831
200,1073.853423077886
201,793.8886117598936
202,1258.9857693193555
203,905.0312323790398
204,845.4087959116256
205,1367.5531429064201
206,629.8486996857358
207,771.2705039441869
208,756.2948783786302
209,922.3216726340208
210,839.8253032621859
211,604.9382784463584
212,805.2189127777347
213,963.0649771423986
214,826.1478612329922
215,950.9306422503942
216,897.9912672480854
217,812.5551724364955
218,1108.4205456187808
219,951.4668658320311
220,1146.6661492305202
221,1047.9284662526136
222,897.666560445866
223,755.6953585213574
224,1014.1049510057346
225,1133.1341790447334
226,1613.826693153766
227,1752.285120553726
228,1239.499644651873
229,1483.5773032134412
230,1029.423993912193
231,1330.7144475168793
232,1205.7210941750411
233,1085.269791919449
234,767.4677870420387
235,1172.6404777190482
236,674.4432245304301
237,1232.133787097275
238,695.4188461451578
239,1150.4806518906626
240,942.2044217670838
241,727.7030486739218
242,1119.6404901920587
243,1123.9129532193767
244,998.3116256820465
245,880.4519887385231
246,1103.2632447356107
247,1578.057348109268
248,1306.041000392312
249,1450.4761893035413
250,928.4463598676383
251,1352.7759691149754
252,570.5853831033917
253,1047.6234547286494
254,1046.424325083584
255,1249.5777532227676
256,1047.2947745345946
257,772.854190349303
258,843.2486938220085
259,857.9438777728568
260,1359.5835647329466
261,914.2688714595313
262,749.1077214223141
263,1038.292999864675
264,1028.8659661894585
265,747.9232717492805
266,1173.3525437428586
267,732.4073164319191
268,1115.9113397669416
269,1109.8027989296918
270,1228.3267467991661
271,1148.622271763357
272,891.8840306010936
273,1381.12497183744
274,1202.2836015729083
275,930.9343430083319
276,1212.9003200963007
277,1109.603969673983
278,1221.774655027577
279,1268.421122220415
280,1075.1456164676308
281,802.4408188645871
282,1000.6690408188693
283,1099.0859848429998
284,901.767908420672
285,907.2927842117961
286,706.4141210237916
287,890.9454703188281
288,875.1003875697653
289,915.5768405624891
290,1332.5171199872425
291,1141.741318209674
292,958.7796653598824
293,1116.370481758006
294,975.367389751211
295,913.7065334473871
296,587.4587055438957
297,664.6721629646092
298,416.4252698077376
299,573.2064770190705
300,788.8581348563242
301,814.184082670586
302,784.9538232177606
303,495.3427060728786
304,758.5823058083635
305,1032.799227955507
306,1228.763282226515
307,780.7183732044276
308,713.3139953247567
309,974.73993963396
310,1103.2842312219952
311,1250.780394062874
312,904.3036619579813
313,1297.7042903091285
314,1344.697010981889
315,873.2167904141818
316,723.3781239347994
317,1055.8819566300472
318,1091.0977963403136
319,1148.2364423813242
320,1054.4637483325528
321,1251.8636379799495
322,1140.5401463840271
323,988.5609048133695
324,1429.09030154239
325,1173.3401576472102
326,866.0563634313621
327,552.6919197937995
328,870.3475861191914
329,874.5771347225523
330,1306.7944843474586
331,1362.8462260441017
332,992.7613077240763
333,1299.2377449978926
334,1547.5167096844918
335,1446.3727768103865
336,765.6227715151681
337,1079.6721813279469
338,1183.3422778834854
339,972.0284572396374
340,1209.1661554767186
341,1113.6098938258351
342,1245.266448732456
343,668.1327761445176
344,1098.2053874872959
345,1084.1915657167963
346,1125.3075752202508
347,1081.6385448991236
348,1019.0651492587012
349,1107.449685914331
350,575.7479991935002
351,1248.0378805715281
352,1247.2102016002355
353,1683.1779805473893
354,1164.3382477554082
355,1160.7790737549983
356,666.6282748473999
357,928.4176660938627
358,1193.6663301452672
359,785.5886709039233
360,1341.885291298458
361,670.1370248067964
362,1051.327261801435
363,911.4877327831883
364,725.2083291261006
365,1361.4895520758894
366,1008.8580087798222
367,979.9230866274723
368,1178.9699211810882
