Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1469.250000,1478.000000,1377.680054,1441.469971,1441.469971,5343800000
2000-01-08,1441.469971,1473.000000,1427.079956,1465.150024,1465.150024,5169700000
2000-01-15,1465.150024,1465.709961,1438.540039,1441.359985,1441.359985,4455000000
2000-01-22,1441.359985,1454.089966,1356.199951,1360.160034,1360.160034,5532100000
2000-01-29,1360.160034,1435.910034,1350.140015,1424.369995,1424.369995,5205000000
2000-02-05,1424.369995,1444.550049,1378.890015,1387.119995,1387.119995,5100800000
2000-02-12,1387.119995,1407.719971,1345.319946,1346.089966,1346.089966,5115300000
2000-02-19,1346.089966,1370.109985,1329.150024,1333.359985,1333.359985,4253900000
2000-02-26,1333.359985,1410.880005,1325.069946,1409.170044,1409.170044,5853800000
2000-03-04,1409.170044,1413.459961,1346.619995,1395.069946,1395.069946,5807900000
2000-03-11,1395.069946,1477.329956,1356.989990,1464.469971,1464.469971,6190300000
2000-03-18,1464.469971,1552.869995,1446.060059,1527.459961,1527.459961,5192200000
2000-03-25,1527.459961,1534.630005,1474.630005,1498.579956,1498.579956,5342800000
2000-04-01,1498.579956,1526.449951,1416.410034,1516.349976,1516.349976,5547060000
2000-04-08,1516.349976,1527.189941,1339.400024,1356.560059,1356.560059,5312700000
2000-04-15,1356.560059,1447.689941,1346.500000,1434.540039,1434.540039,4211700000
2000-04-22,1434.540039,1482.939941,1407.130005,1452.430054,1452.430054,5035000000
2000-04-29,1452.430054,1481.510010,1398.359985,1432.630005,1432.630005,4700700000
2000-05-06,1432.630005,1432.630005,1375.140015,1420.959961,1420.959961,4502400000
2000-05-13,1420.959961,1470.400024,1401.739990,1406.949951,1406.949951,4292200000
2000-05-20,1406.949951,1411.650024,1361.089966,1378.020020,1378.020020,4598300000
2000-05-27,1378.020020,1483.229980,1378.020020,1477.260010,1477.260010,3927200000
2000-06-03,1477.260010,1477.280029,1454.739990,1456.949951,1456.949951,4283600000
2000-06-10,1456.949951,1483.619995,1442.380005,1464.459961,1464.459961,4901900000
2000-06-17,1464.459961,1488.930054,1438.310059,1441.479980,1441.479980,4833100000
2000-06-24,1441.479980,1467.630005,1434.630005,1454.599976,1454.599976,5597200000
